DATE;Электроэнергия;Уголь коксующийся;Антрацит;Уголь и антрацит обогащенные;Руда железная сырая;Сталь;Сталь нелегированная;Сталь легированная;Прокат листовой горячекатаный;Прокат листовой холоднокатаный;Автомобили легковые;Автомобили грузовые с дизельным двигателем;Автомобили грузовые с бензиновым двигателем;Автокраны;Автобетоновозы;Прицепы и полуприцепы свыше 10т.;Фанера;ДСП;ДВП;Бумага офсетная;Бумага оберточная;Двери, окна, рамы;Радиаторы отопления;Сверла;Метчики;Фрезы;Награды
2020.12.01;109131,64;7343,274;1731,374;11292,399;26111,724;0;5334273,266;1249142,546;1797317,28;688061,206;93487;1736;994;226;84;777;0;899691,465;0;31234;0;17324,43;571,743;0;0;0;0
2021.01.01;109131,64;7343,274;1731,374;11292,399;26111,724;0;5334273,266;1249142,546;1797317,28;688061,206;93487;1736;994;226;84;777;0;899691,465;0;31234;0;17324,43;571,743;0;0;0;0
2021.02.01;100575,995;7641,141;1831,829;10867,222;23644,553;0;4956442,186;1336040,712;1552356,195;640418,818;125304;3675;4572;235;105;833;0;823556,589;0;31113;0;19927,022;903,779;0;0;0;0
2021.03.01;103952,723;8681,578;2060,131;12425,353;27541,467;0;5405299,406;1337958,25;1721155,24;723769,485;146549;4909;4671;294;130;1006;0;909258,987;0;25658;0;22735,874;1012,066;0;0;0;0
2021.04.01;92498,554;8572,302;1269,01;11969,617;26471,352;0;5257699,642;1243271,23;1498661,22;671074,213;136196;5233;4469;285;171;1037;0;900105,4;0;28161;0;21311,076;991,687;0;0;0;0
2021.05.01;86563,756;7755,865;2127,293;11896,469;27311,511;0;5336640,25;1291802,19;1770569,415;652559,032;112169;3669;3414;238;154;1063;0;917039,597;0;34564;0;18704,83;987,627;0;0;0;0
2021.06.01;83316,681;7644,727;2037,591;10891,825;25595,116;0;5325473,234;1286185,943;1748512,175;685728,214;122606;5064;4079;292;156;1170;0;1026085,465;0;31191;0;24325,832;1088,177;0;0;0;0
2021.07.01;86877,374;7610,681;2122,009;11467,031;26274,707;0;5202107,442;1253629,324;1701943,8;712411,794;101974;4592;3432;294;141;1177;0;1055790,351;0;34132;0;27072,009;1158,06;0;0;0;0
2021.08.01;88083,86;7447,963;2372,503;11428,589;26739,812;0;4950840,928;1267747,697;1692828,2;707802,447;80022;3405;3622;248;111;1289;0;1010301,235;0;27522;0;24657,672;1014,652;0;0;0;0
2021.09.01;89663,184;8058,415;2359,3;11281,88;25037,121;0;4841617,771;1242507,737;1735904,81;681448,52;106033;5642;4253;290;105;1337;0;965845,553;0;27427;0;26851,217;1022,639;0;0;0;0
2021.10.01;99069,771;9868,248;2182,652;11988,403;25910,511;0;5297724,767;1274313,891;1846338,03;705688,192;103854;6063;4091;325;100;1394;0;983344,536;0;27984;0;29616,829;1100,665;0;0;0;0
2021.11.01;102802,636;10080,181;2078,049;11739,866;25898,006;0;4831292,482;1298617,395;1732096,58;727563,641;112387;5256;4432;286;158;1492;0;987603,839;0;27481;0;27074,507;983,362;0;0;0;0
2021.12.01;113908,591;9550,018;2286,755;11408,614;26317,103;0;4728086,362;1452435,569;1760338,46;749907,112;126336;4893;6673;354;150;1657;0;959306,321;67394,371;33240;0;24681,368;960,705;0;0;0;0
2022.01.01;113403,046;8528,897;2283,857;11270,611;27283,294;0;4822021,747;1474469,856;1536199,255;737477,387;95090;2724;1019;213;92;1365;0;961756,465;62493,216;29341,82;0;16307,448;725,075;0;0;0;0
2022.02.01;101017,916;8271,081;2219,126;11218,201;24613,545;0;4731232,684;1339541,922;1480690,995;661432,572;108054;4925;4442;292;174;1576;0;910887,007;55740,989;24415,258;0;17414,156;1007,348;0;0;0;0
2022.03.01;107524,919;8437,326;2282,111;12076,718;26668,912;0;5184387,485;1369726,144;1573042,85;743106,902;40875;3765;3617;301;164;1598;0;942297,875;64796,028;33872,094;0;27109,594;1152,493;0;0;0;0
2022.04.01;94980,29;7804,308;1966,083;10991,58;25916,602;0;4978588,319;1261518,686;1559604,245;810084,275;19887;3177;3491;296;134;1314;0;985393,877;61682,13;37448,326;0;21093,405;1466,724;0;0;0;0
2022.05.01;89613,363;8706,127;2064,755;11409,92;25600,359;0;4839568,74;1337042,738;1630433,275;583110,569;3721;1245;1772;199;75;1044;0;707725,276;63647,568;25103,294;0;19104,938;1269,622;0;0;0;0
